,11930,14454
SPACECRAFT_CLOCK_START_COUNT,3899211.0,5840611.0
MISSION_NAME,GALILEO,GALILEO
INSTRUMENT_ID,SSI,SSI
DATA_SET_ID,GO-J/JSA-SSI-2-REDR-V1.0,GO-J/JSA-SSI-2-REDR-V1.0
IMAGE_ID,G7G0005,29G0023
OBSERVATION_ID,G7GSCATENA01,29GSCAPCOL01
PRODUCT_TYPE,REDR,REDR
TARGET_NAME,GANYMEDE,GANYMEDE
IMAGE_TIME,1997-04-05 06:12:22.900000+00:00,2000-12-28 10:22:25.631000+00:00
FILTER_NAME,CLEAR,GREEN
FILTER_NUMBER,0,1
EXPOSURE_DURATION,20.83,45.83
GAIN_MODE_ID,400K,100K
FRAME_DURATION,15.166,60.667
OBSTRUCTION_ID,NOT POSSIBLE,NOT POSSIBLE
ORBIT_NUMBER,7,29
NTV_TIME_FROM_CLOSEST_APPROACH,000T19:08:18Z,-000T17:03:37Z
NTV_SAT_TIME_FROM_CLOSEST_APR,-000T00:58:37Z,000T01:57:25Z
PHASE_ANGLE,65.974,2.64
EMISSION_ANGLE,34.511,38.282
INCIDENCE_ANGLE,80.744,36.73
LOCAL_HOUR_ANGLE,102.508,169.939
TWIST_ANGLE,80.048,253.808
CONE_ANGLE,104.254,169.981
RIGHT_ASCENSION,236.112,64.983
DECLINATION,-27.892,22.724
NORTH_AZIMUTH,86.51,296.106
SMEAR_AZIMUTH,-999,-999
SMEAR_MAGNITUDE,0.1,0.1
HORIZONTAL_PIXEL_SCALE,569.683,738.854
VERTICAL_PIXEL_SCALE,659.825,905.436
SLANT_DISTANCE,27282.7,71052.7
LIGHT_SOURCE_LATITUDE,38.597,38.531
LIGHT_SOURCE_LONGITUDE,13.887,14.954
TARGET_CENTER_DISTANCE,29490.61,73137.77
CENTRAL_BODY_DISTANCE,1040577.0,998839.9
SUB_SPACECRAFT_LATITUDE,8.551,2.211
SUB_SPACECRAFT_LONGITUDE,2.968,7.217
SUB_SOLAR_AZIMUTH,185.122,101.569
SUB_SOLAR_LATITUDE,-0.762,2.897
SUB_SOLAR_LONGITUDE,296.387,5.206
SOLAR_DISTANCE,764026000,755787000
SUB_SPACECRAFT_LINE,-2147.83,2511.248
SUB_SPACECRAFT_LINE_SAMPLE,-645.032,-206.797
CENTER_RING_RADIUS,-999,-999
VOLUME_ID,GO_0018,GO_0023
FILE_SPECIFICATION_NAME,G7/GANYMEDE/C0389921100R.IMG,G29/GANYMEDE/C0584061100R.IMG
COMPRESSION_TYPE,INTEGER COSINE TRANSFORM,INTEGER COSINE TRANSFORM
ENCODING_MIN_COMPRESSION_RATIO,8.453,3.418
ENCODING_MAX_COMPRESSION_RATIO,3.918,2.781
ENCODING_COMPRESSION_RATIO,21.634,3.816
PROCESSING_HISTORY_TEXT,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS.","VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
